budget,Date_FK,id_beneficiary_FK,id_category_FK
2912,8976,716,23
481040,8828,,23
21593,8326,4367,3
30619,8921,3233,23
31623,8911,3538,21
49861,8484,3979,3
13882,9205,914,23
22998,8146,572,23
4497,8080,3574,21
3943,9129,942,23
26673,9097,3898,21
38079,8451,178,3
28991,8552,3664,23
43945,9482,2797,3
2502,8741,3358,3
38722,8994,4325,21
38722,9000,,1
45577,8364,3270,3
7216,9204,4031,3
31259,9262,840,23
46867,8461,4082,3
38722,8950,4009,1
38930,8128,2977,21
8805,8912,294,21
30823,9138,3616,23
35793,9086,1868,1
17666,8756,2692,21
38722,9426,2149,23
41644,8415,1550,1
8712,9171,3195,3
17798,8206,4118,23
18496,8584,4814,23
302600,8418,3778,1
38722,8929,1266,23
28743,8147,1303,23
38722,9366,4973,3
40198,8860,175,3
40347,8375,3274,23
24109,8043,3606,1
40140,8277,493,23
12796,8463,963,1
10566,9323,766,3
38722,8705,1049,23
14138,9125,3150,1
34893,8150,267,1
38133,8151,2436,23
35779,8955,3633,23
32812,8455,2220,3
47969,9429,3070,1
6547,9032,4221,3
10049,8599,807,23
34059,8779,3431,21
35594,9391,2773,23
39780,8146,4712,1
28736,9307,2145,23
49610,8830,123,23
47439,9086,2666,1
49306,9208,2361,23
27687,8121,220,23
30073,8882,2840,23
24088,8467,4165,23
34474,8163,1250,3
30270,8712,4069,21
33319,9213,2326,23
47402,8481,2364,3
49277,8545,316,21
2115,9492,2984,23
40311,9158,3784,21
18376,8253,1618,3
45416,8900,962,21
11095,9237,1383,1
30517,8576,3077,1
20734,8354,4021,3
10668,8850,2319,1
25105,9457,846,23
33534,9341,2777,1
19541,8725,2894,23
24307,8725,3565,23
13277,8905,1668,3
25445,9384,3398,21
34356,9291,2471,1
49746,8098,2407,1
14167,8218,3863,23
37644,8361,4777,21
16172,9175,1988,1
38722,8897,201,23
6766,8798,4893,3
6130,8793,359,3
38722,8136,1945,3
47374,9205,4813,21
3789,8041,4452,3
37733,9099,4585,1
35884,9118,4258,21
7510,8881,3312,21
17283,8596,65,3
36630,9086,2409,3
13212,8865,2279,21
10758,8882,2111,1
31349,8434,4055,3
40273,8869,4246,23
7089,9162,2234,23
40936,8674,724,21
21051,8563,4662,3
41409,8547,2706,23
29649,9375,84,23
11000,9231,2198,21
39610,8893,998,1
44338,8409,1991,3
44580,9327,2182,3
26146,8318,1856,1
31651,9032,437,23
26349,8168,4030,21
20713,9103,4108,21
17030,8580,4786,23
26234,8703,3272,21
43711,8798,4116,21
38722,8041,2764,23
5397,8306,3477,21
18113,9269,1837,21
11853,8789,3559,23
24273,8551,347,3
5027,8216,3630,21
17387,8241,416,3
17355,9330,178,23
23303,9321,2594,3
36869,9149,1537,23
13165,9490,3468,21
27919,8456,4842,21
46340,8608,4489,3
145540,8120,4023,1
3832,8346,4332,1
18515,9377,4755,23
38722,9262,3876,3
2241,8756,784,21
8409,8478,367,3
21454,8049,3001,21
38722,8913,1147,3
8126,9240,1648,23
31140,8952,359,3
19574,9285,2040,23
6700,8907,355,21
12503,8859,2915,21
23266,8894,3717,23
22355,8343,444,3
45200,9325,1180,1
38722,8267,3577,23
37035,8909,3788,23
5981,8401,3139,1
30729,9263,1974,3
24919,8421,1896,3
2094,8795,4774,23
46931,8204,2711,21
32003,8942,1191,3
38722,8502,1448,23
26948,8881,2711,23
5510,9373,2497,23
36676,8684,1560,3
19640,8784,3414,3
14309,8050,2480,23
38722,8145,980,23
27582,8576,271,21
42929,8233,2209,1
29890,8413,4521,3
45561,8495,759,21
30430,9141,3720,1
49463,9448,251,3
46969,8154,4831,23
6502,9279,2027,3
48020,9036,2356,21
43177,9100,2458,23
3828,9479,2908,23
10780,8721,3827,23
2406,8819,4724,1
18102,8062,3485,23
10647,8410,3365,3
2708,9330,994,1
37773,8077,4968,1
15436,8043,4830,1
19241,8044,3829,1
4208,8439,3328,21
44697,8086,3809,21
33174,8138,1099,21
46721,8302,862,1
37907,9363,2507,21
588860,9042,4872,23
24725,9189,1224,3
3419,8283,3288,23
16739,9202,2313,21
48881,9409,368,23
4192,8253,4301,23
28267,8424,4514,1
9566,9040,4175,23
30443,8614,3063,3
41253,9402,4507,23
21112,8518,1018,21
12628,8110,505,3
46680,8557,1219,1
26003,8266,4795,21
38696,8793,1744,1
42098,9173,325,3
22032,9123,3064,21
16213,8715,437,3
9896,8603,2078,21
32460,8269,,3
39724,9243,1002,23
30626,8375,4744,3
15485,9357,2750,21
1529,9199,,21
43216,8684,4055,21
38722,9189,1670,23
5860,9407,2616,23
14526,9066,563,1
38722,8757,3764,3
39766,8801,3422,23
13219,8562,3334,1
36116,8980,2659,23
2086,8594,2180,23
38722,8175,3988,3
39863,9311,4789,23
10847,8039,4137,1
36762,9296,1755,1
11198,9322,3673,23
22034,8665,826,1
38722,9059,2455,3
31019,8145,2346,21
46030,8420,2649,23
38722,8370,1012,3
16107,8550,1181,3
38722,8619,3644,1
17129,8506,509,21
41909,8567,415,1
28336,8548,422,1
29933,8769,2764,3
9746,9332,1453,1
1029,8375,3995,1
23148,8821,3573,23
17586,8212,2211,23
8985,9417,,21
48894,8324,2694,1
29252,8691,811,21
44711,9006,2697,1
12644,8659,702,3
39331,9354,1311,23
38383,9281,2378,1
8219,8209,3251,23
38830,9225,3377,3
22066,8284,886,1
30505,8124,2517,23
29563,9067,,21
38722,9150,3796,3
13230,9265,3745,21
44779,9279,2558,21
18898,9218,1568,23
10799,9183,806,1
13496,8681,839,3
24547,9129,2375,3
12995,8062,2063,3
26856,8841,1989,1
227220,8322,1302,23
16842,8940,3884,21
524440,8312,4834,3
36078,9483,3237,21
31786,9141,3988,21
9787,8956,2393,3
46098,8530,3035,1
115720,9415,1185,21
19589,8318,,3
23698,8169,4863,3
12657,8926,4759,3
37104,8416,4517,1
12092,9084,1571,21
44949,8977,4227,21
2398,8118,2886,3
38722,8510,4742,23
16418,8202,663,3
43650,8547,468,21
473740,8998,4061,1
32423,9180,4640,23
19517,9285,1621,21
23708,9070,1027,21
5632,8060,598,23
41035,8563,2277,23
12227,8796,826,23
13854,8423,552,23
24004,9228,899,23
38722,8240,4079,21
21225,9414,1880,21
38722,9276,250,23
17502,8523,1153,3
16548,8896,4116,21
31547,8117,1414,3
15187,9153,3616,1
5137,9114,2895,3
21133,9433,1139,23
8864,8367,4763,23
28729,9056,577,3
6746,8458,,1
36064,8368,3539,1
48972,9227,220,1
16392,9127,1995,1
47201,9157,307,1
3918,9062,2072,1
38722,8953,3463,23
5107,9163,1570,21
13040,8613,89,21
14737,8079,4060,23
17764,8456,856,3
3843,8172,2411,1
537860,8061,1633,1
8992,8787,4680,21
20887,9004,1048,3
45499,8768,1069,21
44052,8810,4283,1
40315,9182,4537,21
30750,9012,521,23
15269,8988,1746,3
40745,9128,3740,3
38722,8366,,21
3545,8276,2799,23
49448,9081,3738,1
48460,8269,4085,1
38928,8675,2032,1
42050,8256,2614,21
34423,8431,4419,1
42783,9392,271,3
24704,8663,4781,3
12973,9417,255,23
27907,8680,70,21
10192,8995,2910,1
13924,9381,2838,1
24530,8750,2619,3
18496,8110,3736,21
31669,9067,1110,3
7937,8101,1146,21
38722,8604,4051,23
5459,8392,3634,1
25055,9137,777,23
2506,8673,3961,21
6362,8563,3551,3
9262,8652,486,21
46593,9160,942,1
2027,9065,1892,1
16872,8985,2407,23
15688,8096,2523,3
25655,9122,2101,21
38722,9428,468,3
18090,8503,3802,1
29987,9061,2140,3
27472,8366,2315,1
35563,9429,4192,1
28918,8627,686,3
18320,9448,794,23
34430,8377,3889,1
94520,8592,2219,21
13963,8353,3843,21
407980,9447,1132,21
21657,9366,1012,3
5786,8565,931,1
39788,8092,3107,1
1758,8544,433,3
3165,8300,2170,23
11744,8905,2002,21
24955,9184,2589,3
28814,8875,4677,23
47885,8590,699,21
35992,8711,2595,21
36082,8859,492,23
35986,9290,258,23
12991,8310,4860,23
38722,9083,2731,3
38722,9097,,1
21719,9055,4800,1
17990,8640,1482,23
19382,9006,2074,21
19695,8597,4812,23
17074,8911,400,1
589840,9200,3197,3
20506,8294,2984,21
24921,9054,4608,3
24044,8631,170,21
38722,8285,200,23
31656,8775,1623,23
40521,8226,4699,1
41271,8492,3840,23
3036,8330,2954,3
44806,8250,1649,23
9151,8153,482,23
43538,9430,2020,23
45170,9078,2191,23
11128,9210,3502,3
6951,9059,4669,23
28141,8725,4953,23
46786,8762,3739,23
49040,8274,895,3
33310,8626,3600,3
48798,8505,2293,3
2551,9265,1060,21
32181,8982,250,23
44667,8119,2756,21
44501,8202,1896,21
34072,8288,54,23
9903,8305,311,3
32249,8634,4815,23
24364,9114,3624,3
28525,8595,2608,3
46823,8506,1586,21
48933,8939,4981,3
28409,9221,981,23
38722,8813,,21
5437,9323,4664,21
44678,8740,,21
24671,9012,2918,1
257900,9199,4556,1
30699,9399,424,23
32215,8514,864,3
9531,8431,702,23
38722,8733,3719,3
44898,8801,4305,1
38722,8074,3868,1
10879,9185,700,21
11264,8285,2845,23
12795,9354,310,21
9611,8191,2874,21
8535,8949,1620,1
11967,9165,3555,1
1198,8616,2755,21
1772,8609,197,3
4085,9317,2864,21
34795,9029,41,23
41541,8933,3202,3
28020,9423,1459,21
33879,8731,2360,1
46206,8668,4534,3
18720,8700,3288,23
10583,8827,2424,3
40634,9212,3488,1
47849,8810,3618,1
37432,9183,4618,21
34472,9463,4366,23
38722,9307,448,1
26905,8931,3513,3
19985,9069,4744,3
30492,8686,430,21
5750,8607,3533,1
49531,9421,2120,3
17177,8935,3608,23
1179,9025,3187,3
23581,9079,3227,23
39004,8921,,3
15455,8362,2805,3
33526,8782,1513,21
38722,8547,3751,23
44236,9216,3010,1
16343,8661,3119,21
45840,9142,2734,1
33185,8472,1684,1
38722,8587,3324,3
23175,8293,3553,23
48990,8583,3615,21
2809,8126,4086,1
18849,8240,2028,3
30172,8141,4000,1
21242,8618,676,21
44274,8818,3578,21
13219,8769,2467,21
1407,8559,3516,21
8991,8631,2520,21
5395,9038,521,3
17429,9274,1419,21
28411,8565,674,3
42483,8456,1005,3
38722,8085,1734,1
10084,8050,4190,23
17945,8756,583,21
24814,9402,3112,21
531940,8683,4725,3
6539,8860,3036,23
29847,9043,3273,21
25408,8923,3938,23
26824,8759,1145,23
39411,8711,579,3
33178,8625,4336,21
9805,9063,3835,3
24631,8601,3532,1
6046,9171,3393,1
40801,9135,4311,3
38722,8601,3924,21
10154,8921,2014,1
11631,8216,1590,1
6830,8425,1981,3
2298,8259,176,23
27246,9064,4285,23
33646,8310,1258,23
38722,8740,3376,3
40886,8555,2600,3
5774,9208,4110,3
30902,8219,2860,23
27045,9301,1666,3
36560,9214,2051,21
5475,9130,3171,23
4008,9265,3541,1
9448,8906,3855,23
19609,9112,3976,1
39656,8926,742,1
1257,9049,2563,1
48205,8297,4424,3
44280,8243,2993,1
42742,8121,3136,23
12240,8591,1233,3
3336,8726,1932,3
40428,9425,2359,3
13360,8821,4412,3
6986,8066,2572,21
21536,9256,537,23
38722,8363,4336,23
38722,8746,3024,23
1949,9266,1509,3
34783,9233,201,21
10156,8045,705,3
2576,8061,4566,1
12396,8709,1059,3
33044,9354,2905,21
38722,8851,3636,3
24394,8498,4567,23
7995,8236,3329,21
29048,9436,4728,3
49822,9280,418,21
38722,8745,1702,1
17690,8492,3578,1
11328,9142,4131,23
12857,8951,4629,3
5579,9271,1811,1
30486,9447,3618,3
23717,9198,2581,23
31274,8216,691,3
49457,9416,276,3
47281,9375,4900,23
6822,8602,3227,3
17461,8840,1723,23
11509,9190,4819,21
7088,8357,462,1
31368,8375,3261,21
48041,8690,4156,1
30231,8691,462,1
40425,8422,1787,23
38722,9241,3466,1
14874,8324,3899,21
30225,8617,988,21
32420,9384,228,21
16815,8899,1506,3
47644,8812,4329,21
19680,8170,1645,21
22816,8677,557,23
34729,9060,2941,21
47113,8776,2681,21
559800,9348,1794,3
30340,8351,2229,21
34805,8323,1508,3
9380,8580,4816,21
42543,8442,1883,3
32763,8129,1180,23
29157,8154,379,21
36725,9033,999,3
2057,8447,2551,3
44986,8349,270,23
6698,9416,4652,23
26829,9177,3544,21
45359,9248,4944,3
4567,8995,2409,3
33691,9444,3591,1
34146,8658,3091,21
40817,9187,4630,1
42535,9097,2917,3
975220,8706,2738,3
42498,9206,3089,3
25924,8336,2683,3
30355,8362,3383,23
36408,9277,450,21
48687,8994,2076,3
42814,8918,377,1
24162,8647,713,21
36838,8812,1383,21
33909,8827,1388,21
18815,9274,156,23
17109,9368,684,23
35087,9310,711,21
38722,8596,1928,3
38722,9152,4746,21
49575,8997,1108,1
43297,8453,4936,21
17233,9286,746,1
45135,8364,629,1
26267,9063,255,3
1386,8529,1245,23
15172,8436,1777,21
45491,8046,652,3
12007,8412,3965,21
13274,8267,4952,23
2190,8538,3981,21
42654,9215,64,1
936380,8252,3793,1
25655,8472,2409,3
21244,8563,932,21
25426,8677,2495,21
29531,8269,4526,1
612700,9025,272,3
17679,9313,4468,1
48650,9321,1465,1
14428,8816,,1
25553,9491,624,23
36807,9436,1532,23
47622,8365,1344,1
6784,8239,2377,23
11854,8477,4048,21
910800,8207,926,1
29377,8996,1112,21
803540,8692,4155,3
27016,8383,129,3
12182,9296,3960,1
45942,8729,2318,1
38722,8441,609,23
4974,8093,22,23
35577,8692,3383,23
33072,8513,3574,23
30627,8138,195,3
43625,8595,2784,1
34419,8708,690,1
33607,8941,1986,21
48519,8420,4483,1
16483,8776,518,3
13666,8911,4376,21
3033,9302,242,23
12715,8858,3843,1
42814,8596,637,21
48121,8137,4430,23
24045,8937,1600,21
42337,8371,,23
38722,9274,4449,23
45875,8541,4732,1
5092,8241,2747,23
46790,9460,3409,21
7319,9200,3686,1
28667,8190,,21
3629,8349,2061,1
47135,8508,3608,3
31175,8697,486,3
41453,9339,4360,3
18548,9174,2956,3
47448,8394,4979,3
13463,8732,1339,1
46877,8098,4714,3
33966,8904,3147,23
19755,8582,2036,21
39373,8690,2842,21
38722,9271,3719,21
27559,8355,1850,23
16379,8043,464,3
7839,8435,956,1
18157,8309,1608,21
17739,8740,1735,21
27289,9118,1779,3
13776,8102,2981,23
24794,8277,1667,23
18753,8338,3828,1
23251,9216,3917,23
43044,8202,1472,23
41990,8812,3008,1
33185,8392,2362,21
12667,9063,2075,3
29896,8698,3070,21
43280,8279,501,1
31455,8281,4334,1
15433,9020,1922,3
4192,8990,2131,3
38722,8193,1150,1
17449,8651,3920,3
36066,8823,1685,23
38722,9338,3406,23
1868,9246,3094,1
39989,8533,4974,23
7713,8338,4251,1
33183,9470,2771,21
1586,8582,4763,23
1589,8374,1565,3
6334,8040,1534,1
32496,9308,1095,3
8393,8160,2165,1
49990,9159,301,23
31283,8816,4140,21
18122,8163,695,23
19236,8316,3897,1
15603,8384,555,21
48081,9222,4907,23
47444,8596,3855,23
